,caption,video_id,video,frame,results_st,results_lt
0,car is driving down a road,000200_23 ,200,23,0.830092707666036,0.779982127454957
1,man is walking down a street and then he stops,000200_83 ,200,83,0.8298366748624117,0.7799541307970992
2,car is driving down a road,000200_178 ,200,178,0.830092707666036,0.779982127454957
3,man is driving a car and talking to someone,000200_261 ,200,261,0.8299786072865446,0.7799416614033924
4,woman with long hair is smiling and talking,000200_324 ,200,324,0.8299204389720526,0.7800083278620035
5,man is driving a car and looking at his side,000200_416 ,200,416,0.8299017096272798,0.7798422642527807
6,woman is looking at something and smiling,000200_504 ,200,504,0.8298441077327187,0.7798923235053796
7,man is driving a car and smiling,000200_579 ,200,579,0.8299532063748785,0.7800235716837857
8,woman is looking at something and smiling,000200_696 ,200,696,0.8298441077327187,0.7798923235053796
9,man is driving a car and smiling,000200_860 ,200,860,0.8299532063748785,0.7800235716837857
10,woman is looking at something and smiling, 000200_999 ,200,999,0.8298441077327187,0.7798923235053796
11,man is driving a car and talking to someone, 000200_1073 ,200,1073,0.8299786072865446,0.7799416614033924
12,man with long hair is smiling and talking, 000200_1129 ,200,1129,0.8298988204818776,0.7799653266086662
13,man is driving a car and talking to someone, 000200_1196 ,200,1196,0.8299786072865446,0.7799416614033924
14,car is driving down a road, 000200_1295 ,200,1295,0.830092707666036,0.779982127454957
15,man is walking away from a car, 000200_1412 ,200,1412,0.829926062779053,0.7799544531996956
16,man is driving a car with a woman in the back seat, 000200_1584 ,200,1584,0.8299384431792363,0.7799202164363208
17,man is driving a car with a woman in the back seat, 000200_1723 ,200,1723,0.8299384431792363,0.7799202164363208
18,man is walking away from a car, 000200_1775 ,200,1775,0.829926062779053,0.7799544531996956
19,car is driving down a road, 000200_1885 ,200,1885,0.830092707666036,0.779982127454957
20,parking lot full of cars and buses,000501_85 ,501,85,0.8300983179362079,0.7799076142905503
21,man is driving a car and smiling,000501_272 ,501,272,0.8299532063748785,0.7800235716837857
22,car is driving down the road,000501_462 ,501,462,0.830092707666036,0.779982127454957
23,man is sitting in a car with his feet on the seat,000501_643 ,501,643,0.8300800526286458,0.7800331799329572
24,shelf with a clock and a vase on top of it,000703_37 ,703,37,0.8303262945858918,0.7800339844703182
25,person holding a cell phone in front of a box of doughnuts,000703_129 ,703,129,0.8302607642195545,0.7800661809064077
26,man sitting at a desk working on a laptop,000703_241 ,703,241,0.8300778640773457,0.7799991124772457
27,dog is standing on a skateboard in a room,000703_321 ,703,321,0.8301951589787839,0.780131738509055
28,man in a kitchen working on a laptop,000703_366 ,703,366,0.8301918468585737,0.7801167843281067
29,dog is jumping up and down,000703_422 ,703,422,0.8302568563186119,0.7801298701577654
30,man is sitting in a room and talking,000703_509 ,703,509,0.829921529383586,0.7799570356778714
31,dog is walking on the floor,000703_578 ,703,578,0.8302012126253409,0.780226943296188
32,man is looking at something and then looks away,000703_626 ,703,626,0.829855539453302,0.7797040001132404
33,dog is standing on a skateboard and a man is walking,000703_683 ,703,683,0.8299807551155536,0.780103785253038
34,man in a kitchen working on a laptop, 000703_757 ,703,757,0.8301918468585737,0.7801167843281067
35,dog is playing with a toy, 000703_832 ,703,832,0.8300328716265315,0.7798975527382707
36,man is looking at something and then looks away, 000703_910 ,703,910,0.829855539453302,0.7797040001132404
37,dog is running around a house, 000703_975 ,703,975,0.8300751577265975,0.7799241531261355
38,man is holding a cell phone in his hand, 000703_1014 ,703,1014,0.8300895385773817,0.7799222753839229
39,person holding a cell phone in their hand, 000703_1059 ,703,1059,0.8301682431825855,0.7799340865736194
40,man holding a cell phone up to his face, 000703_1111 ,703,1111,0.830019648545937,0.7798756239810124
41,dog is running through a field, 000703_1174 ,703,1174,0.829940415663566,0.7796392897585883
42,man holding a cell phone up to his face, 000703_1244 ,703,1244,0.830019648545937,0.7798756239810124
43,dog is playing with a toy, 000703_1329 ,703,1329,0.8300328716265315,0.7798975527382707
44,man in a kitchen with a laptop and a sink, 000703_1404 ,703,1404,0.8304402498296497,0.7802712532390327
45,dog is running around a house, 000703_1449 ,703,1449,0.8300751577265975,0.7799241531261355
46,man is working on a laptop computer, 000703_1500 ,703,1500,0.8300723477264726,0.779809958622124
47,man is talking to a woman and she is smiling, 000703_1660 ,703,1660,0.8297468193559066,0.779974696784824
48,room with a lot of tables and chairs,003502_127 ,3502,127,0.8300622096954737,0.7798565969615086
49,woman is sitting at a desk and talking,003502_366 ,3502,366,0.8299677814687509,0.780021727798806
50,man is sitting on a couch and is smoking a cigarette,003502_497 ,3502,497,0.8301871494657318,0.780212245693039
51,person is holding a cell phone in their hand,003502_561 ,3502,561,0.8301682431825855,0.7799340865736194
52,person holding a smart device in their hands,003502_636 ,3502,636,0.8301604854523923,0.7799311437331682
53,person holding a smart device in their hands,003502_711 ,3502,711,0.8301604854523923,0.7799311437331682
54,woman is talking to a man and he is talking to him,003502_790 ,3502,790,0.829745876477779,0.77989750753754
55,woman is talking to a man and he is talking to her,003502_842 ,3502,842,0.829745876477779,0.77989750753754
56,woman is drinking from a glass,003502_891 ,3502,891,0.8301747609098248,0.7803664752222218
57,man is driving a car and <unk> his head,003502_947 ,3502,947,0.8300839701799954,0.7800641694817505
